Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.79     0.00  1077438     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      1.79     0.00  1076408     0.00     0.00  __gnu_cxx::__normal_iterator<colVal*, std::vector<colVal, std::allocator<colVal> > >::base() const
  0.00      1.79     0.00   897624     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      1.79     0.00   869144     0.00     0.00  operator new(unsigned long, void*)
  0.00      1.79     0.00   864064     0.00     0.00  z3::check_context(z3::object const&, z3::object const&)
  0.00      1.79     0.00   864044     0.00     0.00  z3::sort::is_bool() const
  0.00      1.79     0.00   864026     0.00     0.00  z3::context::real_sort()
  0.00      1.79     0.00   864004     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char>(char*)
  0.00      1.79     0.00   864004     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*)
  0.00      1.79     0.00   864004     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct_aux<char*>(char*, char*, std::__false_type)
  0.00      1.79     0.00   864004     0.00     0.00  std::__cxx11::to_string(float)
  0.00      1.79     0.00   864004     0.00     0.00  std::iterator_traits<char*>::difference_type std::__distance<char*>(char*, char*, std::random_access_iterator_tag)
  0.00      1.79     0.00   864004     0.00     0.00  std::iterator_traits<char*>::iterator_category std::__iterator_category<char*>(char* const&)
  0.00      1.79     0.00   864004     0.00     0.00  std::iterator_traits<char*>::difference_type std::distance<char*>(char*, char*)
  0.00      1.79     0.00   807306     0.00     0.00  __gnu_cxx::new_allocator<colVal>::_M_max_size() const
  0.00      1.79     0.00   804810     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      1.79     0.00   623104     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      1.79     0.00   616504     0.00     0.00  std::_Vector_base<colVal, std::allocator<colVal> >::_M_get_Tp_allocator()
  0.00      1.79     0.00   539214     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      1.79     0.00   539214     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      1.79     0.00   539214     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      1.79     0.00   539214     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
  0.00      1.79     0.00   539214     0.00     0.00  std::vector<int, std::allocator<int> >::_S_do_relocate(int*, int*, int*, std::allocator<int>&, std::integral_constant<bool, true>)
